"match_id","innings_1_score","runs_to_win","wickets_in_hand","bowler_runs","bowler_econ","bowler_wickets","bowler_boundaries","batsman_runs","batsman_sr","batsman_boundaries","non_striker_runs","non_striker_sr","non_striker_boundaries","bowler_eg_games","bowler_eg_runs","bowler_eg_economy","bowler_eg_wickets","batsman_eg_games","batsman_eg_runs","batsman_eg_sr","non_striker_eg_games","non_striker_eg_runs","non_striker_eg_sr","bowler_lt_games","bowler_lt_runs","bowler_lt_economy","bowler_lt_wickets","batsman_lt_games","batsman_lt_runs","batsman_lt_sr","non_striker_lt_games","non_striker_lt_runs","non_striker_lt_sr","match_result"
"829742","209","28","4",NULL,NULL,NULL,NULL,"39","195.0000","7","20","142.8571","4","48","552","10.6154","29","6","104","157.5758","12","70","120.6897","92","1975","8.9434","71","8","127","142.6966","13","88","107.3171","Won"
"598066","170","18","4","15","7.5000","0","2","3","60.0000","0","7","140.0000","1","23","225","8.7097","10","41","251","145.9302","15","117","121.8750","44","1095","8.3059","28","47","342","120.4225","22","304","116.9231","Won"
"419122","170","19","3",NULL,NULL,NULL,NULL,"60","214.2857","8","8","133.3333","1","6","75","15.0000","3","56","663","150.3401","16","172","157.7982","7","174","10.2353","6","82","1150","121.4361","17","187","152.0325","Won"
"419142","246","35","5","35","11.6667","0","5","84","168.0000","12","1","50.0000","0","2","32","17.4545","0","44","411","140.7534","13","120","116.5049","14","304","8.7273","6","94","1554","118.8073","16","194","116.1677","Won"
"392207","164","44","2","16","5.3333","3","1","3","75.0000","0","2","100.0000","0","58","877","10.4821","39","8","40","88.8889","14","42","73.6842","73","2083","8.2659","85","11","55","79.7101","14","42","72.4138","Won"
"981014","171","28","3","17","8.5000","0","2","5","166.6667","1","5","62.5000","0","15","203","11.9412","9","42","180","96.2567","28","214","131.2883","29","844","9.5728","24","42","183","94.3299","34","317","115.6934","Won"
"501240","143","6","6","20","6.6667","0","2","47","138.2353","6","10","142.8571","1","5","96","11.2941","6","24","312","159.1837","33","475","152.7331","5","167","8.5641","6","54","1017","124.3276","140","3933","121.5389","Lost"
"501235","148","24","2","33","11.0000","1","5","1","100.0000","0","19","172.7273","2","58","877","10.4821","39","20","116","145.0000","16","179","140.9449","73","2083","8.2659","85","20","126","141.5730","20","285","110.0386","Won"
"501258","176","29","5","29","9.6667","0","4","6","120.0000","0","37","115.6250","4","24","297","7.6154","28","7","80","123.0769","56","663","150.3401","27","716","7.4583","43","9","123","123.0000","82","1150","121.4361","Won"
"501262","166","39","2","26","8.6667","2","4","3","150.0000","0","0","0.0000","0","8","88","9.7778","6","20","116","145.0000","12","50","71.4286","14","444","9.4468","15","20","126","141.5730","12","50","70.4225","Won"
